project_id | project_name | description | start_date | end_date
--------------------------------------------------------------------------
2 | Website Dev | Xay dung website | 2026-01-31T17:00:00.000Z | 2026-04-30T17:00:00.000Z
3 | Mobile App | Phat trien app | 2026-02-28T17:00:00.000Z | 2026-06-30T17:00:00.000Z
4 | Test | NULL | 2025-12-31T17:00:00.000Z | 2026-11-30T17:00:00.000Z
5 | du an quan li nong trai | quan li nong trai | 2026-03-31T17:00:00.000Z | 2026-04-29T17:00:00.000Z
6 | website quan li nong trai | quan li nong trai cua tan | 2026-01-03T17:00:00.000Z | 2026-03-03T17:00:00.000Z
7 | Task Management System | A web-based system for managing projects, tasks, and team members. | 2026-01-04T17:00:00.000Z | 2026-04-29T17:00:00.000Z
8 | E-Commerce Website | Online shopping platform with product listings, cart, and payment integration. | 2026-01-31T17:00:00.000Z | 2026-06-14T17:00:00.000Z
9 | Library Management App | System to manage books, borrowing records, and user accounts for a library. | 2026-01-14T17:00:00.000Z | 2026-05-19T17:00:00.000Z
10 | Student Portal | Portal for students to view schedules, grades, and course information. | 2026-02-28T17:00:00.000Z | 2026-07-09T17:00:00.000Z
11 | Inventory Tracker | Application to monitor stock levels, suppliers, and warehouse operations. | 2026-02-09T17:00:00.000Z | 2026-05-29T17:00:00.000Z
12 | Restaurant Booking System | Platform for customers to reserve tables and manage restaurant bookings. | 2026-01-19T17:00:00.000Z | 2026-04-24T17:00:00.000Z
13 | Fitness Mobile App | Mobile app for workout plans, progress tracking, and health reminders. | 2026-02-14T17:00:00.000Z | 2026-06-30T17:00:00.000Z
14 | Online Learning Platform | Educational platform with courses, lessons, quizzes, and certificates. | 2026-01-09T17:00:00.000Z | 2026-06-19T17:00:00.000Z
15 | Hotel Reservation System | Booking management system for hotel rooms, customers, and payments. | 2026-03-04T17:00:00.000Z | 2026-08-14T17:00:00.000Z
16 | Event Planner Website | Website to organize events, manage attendees, and send invitations. | 2026-02-24T17:00:00.000Z | 2026-06-09T17:00:00.000Z
17 | Bug Tracking System | Tool for reporting, tracking, and resolving software bugs and issues. | 2026-01-11T17:00:00.000Z | 2026-05-17T17:00:00.000Z
18 | Personal Finance Manager | Application to track expenses, budgets, and financial goals. | 2026-03-09T17:00:00.000Z | 2026-07-24T17:00:00.000Z
20 | website quản lí nông trại | quản lí nông trại gà | 2026-02-03T17:00:00.000Z | 2026-10-03T17:00:00.000Z
